aqs_id,date_local,latitude_x,longitude_x,elevation,dominant_source,measurement_scale,monitoring_objective,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun,arithmetic_mean_a,arithmetic_mean_b,poc_a,poc_b,meth_type_a,meth_type_b,method_code_a,method_code_b,monitor_type_a,monitor_type_b
20-177-0013,6/15/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,8.6,9.2,1,2,FRM,FEM,145,236,,SLAMS
20-177-0013,6/18/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,3.4,3.9,1,2,FRM,FEM,145,236,,SLAMS
20-177-0013,6/21/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,6.6,6.7,1,2,FRM,FEM,145,236,,SLAMS
20-177-0013,6/24/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,5.1,5.7,1,2,FRM,FEM,145,236,,SLAMS
20-177-0013,6/30/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,5,6.4,1,2,FRM,FEM,145,236,,SLAMS
20-177-0013,7/3/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,9.7,9.2,1,2,FRM,FEM,145,236,,SLAMS
20-177-0013,7/6/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,10.8,12,1,2,FRM,FEM,145,236,,SLAMS
20-177-0013,7/9/2017,39.024265,-95.711275,280,AREA,NEIGHBORHOOD,POPULATION EXPOSURE,,,,,,,,,,,7,7.5,1,2,FRM,FEM,145,236,,SLAMS
20-191-0002,9/15/2019,37.47689,-97.366399,383,,REGIONAL SCALE,POPULATION EXPOSURE; REGIONAL TRANSPORT,27,20.2,34.6,0,0,187.4,17.3,,1016.4,,14.3,16.545833,1,2,FRM,FEM,145,238,,SLAMS
20-191-0002,9/18/2019,37.47689,-97.366399,383,,REGIONAL SCALE,POPULATION EXPOSURE; REGIONAL TRANSPORT,27.3,21.9,33.5,0,0,163.2,21.2,,1012.4,,8.8,9.504167,1,2,FRM,FEM,145,238,,SLAMS
20-191-0002,9/21/2019,37.47689,-97.366399,383,,REGIONAL SCALE,POPULATION EXPOSURE; REGIONAL TRANSPORT,25.2,21.3,32.4,0.8,0,173.3,25.9,,1011.6,,6.7,8.0875,1,2,FRM,FEM,145,238,,SLAMS
20-191-0002,9/24/2019,37.47689,-97.366399,383,,REGIONAL SCALE,POPULATION EXPOSURE; REGIONAL TRANSPORT,24.5,20.2,30.2,0.8,0,168,19.8,,1010.7,,5.2,5.995833,1,2,FRM,FEM,145,238,,SLAMS
20-191-0002,9/27/2019,37.47689,-97.366399,383,,REGIONAL SCALE,POPULATION EXPOSURE; REGIONAL TRANSPORT,26.1,21.3,34.6,0,0,187.4,25.6,,1002.5,,7.1,7.470833,1,2,FRM,FEM,145,238,,SLAMS
20-191-0002,9/30/2019,37.47689,-97.366399,383,,REGIONAL SCALE,POPULATION EXPOSURE; REGIONAL TRANSPORT,27.1,23.5,32.4,0,0,176.2,33.5,,1011.3,,7.3,8.404167,1,2,FRM,FEM,145,238,,SLAMS
23-003-0014,1/1/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,-8.9,-15.6,-2.1,0.9,350,333.2,2.8,0,1006.5,,5.3,6.625,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,1/7/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,-3.7,-6.8,-0.6,0,340,340.6,3.4,0,1024,,11.7,11.954545,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,1/13/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,-9.7,-13,-6.3,5.5,240,1.6,23.7,0,997.9,,2.6,3.25,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,1/19/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,-11.1,-15,-7.1,1.7,320,307.1,16.3,147.6,992.9,,2.4,3.583333,1,2,FRM,FEM,143,170,,SLAMS
23-003-0014,1/25/2016,47.355332,-68.321106,184,AREA,NEIGHBORHOOD,HIGHEST CONCENTRATION,-12.7,-22.3,-3.1,0,350,343.2,3.2,0,1021.4,,17.3,2.625,1,2,FRM,FEM,143,170,,SLAMS
